"id","uri","additional.name","given.name","family.name","full.name","birth.date","gender","constituency","party"
"177","http://lda.data.parliament.uk/members/177.csv","Richard","Gareth","Thomas","Mr Gareth Thomas","1967-07-15","Male","Harrow West","Labour (Co-op)"
"4000","http://lda.data.parliament.uk/members/4000.csv",NA,"Ian","Mearns","Ian Mearns","1957-04-21","Male","Gateshead","Labour"
"296","http://lda.data.parliament.uk/members/296.csv","Gschaider","Gisela","Stuart","Ms Gisela Stuart","1955-11-26","Female","Birmingham, Edgbaston","Labour"
"4003","http://lda.data.parliament.uk/members/4003.csv",NA,"Teresa","Pearce","Teresa Pearce","1955-02-01","Female","Erith and Thamesmead","Labour"
"3932","http://lda.data.parliament.uk/members/3932.csv",NA,"Daniel ","Poulter","Dr Daniel Poulter","1978-10-30","Male","Central Suffolk and North Ipswich","Conservative"
"1562","http://lda.data.parliament.uk/members/1562.csv",NA,"Robert","Goodwill","Mr Robert Goodwill","1956-12-31","Male","Scarborough and Whitby","Conservative"
"4273","http://lda.data.parliament.uk/members/4273.csv","Douglas","Michael","Thornton","Mr Mike Thornton","1952-05-01","Male","Eastleigh","Liberal Democrat"
"4095","http://lda.data.parliament.uk/members/4095.csv",NA,"Stephen","Barclay","Stephen Barclay","1972-06-30","Male","North East Cambridgeshire","Conservative"
"392","http://lda.data.parliament.uk/members/392.csv","John","Kevin","Barron","Kevin Barron","1946-10-26","Male","Rother Valley","Labour"
"3937","http://lda.data.parliament.uk/members/3937.csv",NA,"Aidan","Burley","Mr Aidan Burley","1979-01-22","Male","Cannock Chase","Conservative"
"1604","http://lda.data.parliament.uk/members/1604.csv","Kumar","Virendra","Sharma","Mr Virendra Sharma","1947-04-05","Male","Ealing, Southall","Labour"
"1549","http://lda.data.parliament.uk/members/1549.csv","Michael","Edward","Balls","Ed Balls","1967-02-25","Male","Morley and Outwood","Labour (Co-op)"
"400","http://lda.data.parliament.uk/members/400.csv",NA,"John","Healey","John Healey","1960-02-13","Male","Wentworth and Dearne","Labour"
"180","http://lda.data.parliament.uk/members/180.csv","Gordon","Frank","Dobson","Frank Dobson","1940-03-15","Male","Holborn and St Pancras","Labour"
"4110","http://lda.data.parliament.uk/members/4110.csv",NA,"Karen","Bradley","Karen Bradley","1970-03-12","Female","Staffordshire Moorlands","Conservative"
"1500","http://lda.data.parliament.uk/members/1500.csv","Anne","Theresa","Villiers","Mrs Theresa Villiers","1968-03-05","Female","Chipping Barnet","Conservative"
"1437","http://lda.data.parliament.uk/members/1437.csv","Eileen","Sylvia","Hermon","Lady Hermon","1955-08-11","Female","North Down","Independent"
"4055","http://lda.data.parliament.uk/members/4055.csv",NA,"Mark","Spencer","Mr Mark Spencer","1970-01-20","Male","Sherwood","Conservative"
